,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,1,https://insights.blackcoffer.com/how-is-login-logout-time-tracking-for-employees-in-office-done-by-ai/,0.113,0.051,0.37804647532637,0.00039140811362432435,27,0.0,10.711111111111112,6,0,723,4375,16,6
1,2,https://insights.blackcoffer.com/how-does-ai-help-to-monitor-retail-shelf-watches/,0.21,0.048,0.6279045430056472,0.0006753926683890245,23,0.0,9.114285714285714,6,0,638,4045,12,6
2,3,https://insights.blackcoffer.com/ai-and-its-impact-on-the-fashion-industry/,0.203,0.037,0.6916637847342303,0.00022284122541983172,24,0.0,9.557894736842107,6,0,1816,11415,53,6
3,4,https://insights.blackcoffer.com/how-do-deep-learning-models-predict-old-and-new-drugs-that-are-successfully-treated-in-healthcare/,0.167,0.0,0.9999940120119041,0.0006498054449423914,32,0.0,12.657142857142858,6,0,443,2808,2,6
4,5,https://insights.blackcoffer.com/how-artificial-intelligence-can-boost-your-productivity-level/,0.205,0.045,0.63999744001024,0.0006172839490931261,23,0.0,9.277419354838711,6,0,719,4395,28,6
5,6,https://insights.blackcoffer.com/how-are-genetic-sequencing-maps-affected-by-deep-learning-and-ai/,0.165,0.031,0.6836699812756057,0.00027920227880455517,22,0.0,8.676923076923078,6,0,1128,7289,28,6
6,7,https://insights.blackcoffer.com/how-is-ai-used-to-solve-traffic-management/,0.206,0.066,0.51470399005886,0.0003066516343780703,22,0.0,8.9,7,0,1335,8847,46,7
7,8,https://insights.blackcoffer.com/benefits-of-big-data-in-different-fields/,0.209,0.041,0.671997312010752,0.0003156565652580094,20,0.0,7.854545454545455,6,0,1296,8362,14,6
8,9,https://insights.blackcoffer.com/how-big-data-will-impact-the-future-of-business/,0.26,0.025,0.8245585103210165,0.0003479853475604575,19,0.0,7.509859154929578,6,0,1333,8409,12,6
9,10,https://insights.blackcoffer.com/how-will-ai-make-decisions-in-tomorrows-wars/,0.201,0.23,-0.06728522671641132,0.0012676470550951559,15,0.0,6.0600000000000005,6,0,606,3599,28,6
10,11,https://insights.blackcoffer.com/which-one-is-better-ai-or-big-data/,0.232,0.016,0.8709642299829438,0.0006375321320371925,19,0.0,7.611764705882354,6,0,647,4031,17,6
11,12,https://insights.blackcoffer.com/how-robots-can-help-in-e-learning-platforms/,0.215,0.058,0.5750894685367453,0.00038833570357277997,21,0.0,8.34920634920635,6,0,1315,7787,26,6
12,13,https://insights.blackcoffer.com/how-does-big-data-help-in-finance-and-the-growth-of-large-firms/,0.202,0.025,0.7797322478755601,0.0008798449578300584,17,0.0,6.784000000000001,6,0,424,2644,3,6
13,14,https://insights.blackcoffer.com/future-of-work-robot-ai-and-automation/,0.229,0.043,0.6838210153639142,0.0008499999973437501,24,0.0,9.791304347826088,6,0,563,3577,7,6
14,15,https://insights.blackcoffer.com/how-ai-will-help-the-defense-power-of-a-country/,0.182,0.178,0.011111080246999324,0.0004621309365056085,15,0.0,6.197802197802198,6,0,1410,8523,20,6
15,16,https://insights.blackcoffer.com/future-of-ai-and-machine-roles-in-the-medical-sector/,0.195,0.027,0.7567533479578921,0.0004448897786675556,28,0.0,11.023529411764706,6,0,937,5524,18,6
16,17,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.179,0.059,0.5041995621867135,0.00020446735377623076,24,0.0,9.521052631578948,7,0,1809,12102,40,7
17,18,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.228,0.104,0.3734928509251479,0.000433986927537272,21,0.0,8.342028985507246,6,0,1439,8454,35,6
18,19,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.163,0.083,0.325201930073455,0.00024773413872332915,20,0.0,8.12857142857143,6,0,1707,11050,29,6
19,20,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.241,0.073,0.5350301432161044,0.00035926773414271426,19,0.0,7.7804878048780495,6,0,1595,9446,61,6
20,21,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.227,0.063,0.5655152913265816,0.0003059071726730937,21,0.0,8.51,6,0,1702,10564,33,6
21,22,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.265,0.061,0.6257649516412527,0.0004894894887545203,23,0.0,9.303703703703704,6,0,1256,7600,15,6
22,23,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.17,0.04,0.6190446712158513,0.0005147058810914073,16,0.0,6.551111111111111,6,0,737,4587,11,6
23,24,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.19,0.071,0.45593695043314014,0.00031598062915740846,23,0.0,9.28,6,0,1508,9170,10,6
24,25,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.248,0.065,0.5846626688093649,0.0008067010288487087,21,0.0,8.217142857142859,6,0,719,4187,10,6
25,26,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.222,0.063,0.5578927793235813,0.00023495465767934488,26,0.0,10.324705882352943,6,0,2194,13038,86,6
26,27,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.156,0.132,0.08333304398248614,0.00026641998125215543,19,0.0,7.6767676767676765,6,0,1900,11677,27,6
27,28,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.204,0.066,0.5111092181140069,0.00038848920807411626,22,0.0,8.837037037037037,6,0,1193,7728,14,6
28,29,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.216,0.065,0.5373646357130402,0.0003807588070721426,17,0.0,6.772222222222223,6,0,1219,7492,36,6
29,30,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0.22,0.052,0.6176447880706322,0.00032458233851481824,23,0.0,9.008000000000001,6,0,1689,9745,39,6
30,31,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0.246,0.043,0.7024197148106756,0.0003314220179685527,19,0.0,7.75,6,0,1550,9624,49,6
31,32,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,0.207,0.009,0.9166624228591533,0.0006813880104688076,25,0.0,9.847619047619048,6,0,517,3325,10,6
32,33,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0.251,0.073,0.5493810204289493,0.00034989200826145573,261,0.0,104.34285714285714,6,0,1826,10502,32,6
33,34,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0.246,0.008,0.9370041850228936,0.0005934579425386497,17,0.0,6.9,6,0,759,4688,8,6
34,35,https://insights.blackcoffer.com/evolution-of-advertising-industry/,0.192,0.019,0.8199013274818604,0.00050721153724228,18,0.0,7.08,7,0,708,4652,3,7
35,36,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.148,0.071,0.3515965680522007,0.0019729729551984415,31,0.0,12.333333333333334,6,0,185,1179,3,6
36,37,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0.275,0.117,0.4030601962750096,0.000662162161043645,23,0.0,9.146666666666667,6,0,1029,6415,27,6
37,38,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,0.149,0.165,-0.05095525173486713,0.00039746835392725523,24,0.0,9.698245614035088,6,0,1382,8568,9,6
38,39,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,0.128,0.043,0.49707311653148234,0.0004100719414626572,23,0.0,9.380645161290323,6,0,727,4405,22,6
39,40,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,0.259,0.084,0.510202594161533,0.00034681496426004554,21,0.0,8.515555555555556,6,0,1916,11378,31,6
40,41,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,0.281,0.006,0.9581848146870569,0.0007572559346774251,15,0.0,5.981818181818182,6,0,658,4099,10,6
41,42,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,0.175,0.0,0.9999942857469386,0.0007383966213569763,24,0.0,9.700000000000001,6,0,388,2298,2,6
42,43,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,0.191,0.029,0.7363602892714124,0.0004845814967299967,24,0.0,9.623529411764707,6,0,818,4796,13,6
43,44,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,0.183,0.035,0.6788959683671175,0.0007517241353388823,24,0.0,9.66,6,0,483,3026,12,6
44,45,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,0.342,0.045,0.7674398774163376,0.00198461537443787,14,0.0,5.733333333333334,6,0,387,2405,5,6
45,46,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,0.155,0.0,0.9999935484287198,0.0017032966845791574,17,0.0,6.977777777777778,7,0,157,1024,2,7
46,47,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,0.22,0.208,0.028037317669818557,0.0010413625278798966,15,0.0,6.185185185185186,6,0,835,4736,7,6
47,48,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,0.405,0.033,0.8493131294220789,0.00413207543271627,21,0.0,8.266666666666667,6,0,186,1091,2,6
48,49,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,0.264,0.048,0.6923054733798931,0.0007375886507385611,18,0.0,7.046153846153847,7,0,687,4576,7,7
49,50,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,0.182,0.312,-0.2631573620296315,0.006333333252136753,23,0.0,9.085714285714287,6,0,159,882,1,6
50,51,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,0.156,0.2,-0.12359515844056622,0.001913978484333449,20,0.0,8.16842105263158,6,0,388,2197,4,6
